"","id","date","awnd","pgtm","prcp","snow","snwd","tavg","tmax","tmin","wdf2","wdf5","wsf2","wsf5","wt01","wt02","wt03","wt04","wt05","wt06","wt08","wt09","wt11","wt13","wt14","wt16","wt17","wt18","wt19","wt21","wt22"
"47","USW00014898",2011-11-16,62,NA,0,0,0,NA,33,-17,300,280,116,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"48","USW00014898",2011-11-17,47,NA,0,0,0,NA,6,-44,300,280,94,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"49","USW00014898",2011-11-18,51,NA,0,0,0,NA,72,-39,210,210,116,161,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","USW00014898",2011-11-19,27,NA,20,0,0,NA,56,17,360,10,72,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"51","USW00014898",2011-11-20,29,NA,0,0,0,NA,22,-39,350,350,80,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","USW00014898",2011-11-21,7,NA,0,0,0,NA,28,-44,40,40,31,36,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"53","USW00014898",2011-11-22,32,NA,0,0,0,NA,56,-28,50,50,72,80,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"54","USW00014898",2011-11-23,28,NA,0,0,0,NA,39,-22,260,220,72,94,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"55","USW00014898",2011-11-24,52,NA,0,0,0,NA,78,22,200,200,80,112,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"56","USW00014898",2011-11-25,41,NA,0,0,0,NA,117,67,210,200,76,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"57","USW00014898",2011-11-26,29,NA,69,0,0,NA,111,72,350,360,80,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"58","USW00014898",2011-11-27,45,NA,20,0,0,NA,72,-6,320,320,89,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"59","USW00014898",2011-11-28,17,NA,0,0,0,NA,0,-33,270,210,45,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","USW00014898",2011-11-29,68,NA,0,0,0,NA,39,-33,10,20,130,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","USW00014898",2011-11-30,26,NA,0,0,0,NA,56,-61,260,240,45,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","USW00014898",2011-12-01,26,NA,18,0,0,NA,28,-22,350,10,67,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA
"63","USW00014898",2011-12-02,26,NA,0,0,0,NA,6,-67,200,200,58,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","USW00014898",2011-12-03,27,NA,173,0,0,NA,61,-6,180,180,67,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA
"65","USW00014898",2011-12-04,27,NA,25,0,0,NA,56,0,330,320,63,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA
"66","USW00014898",2011-12-05,42,NA,0,0,0,NA,6,-56,20,30,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"67","USW00014898",2011-12-06,27,NA,0,0,0,NA,-17,-72,30,10,67,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","USW00014898",2011-12-07,49,NA,0,0,0,NA,-22,-72,280,230,76,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","USW00014898",2011-12-08,50,NA,0,0,0,NA,-6,-78,270,260,112,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","USW00014898",2011-12-09,46,NA,0,0,0,NA,-56,-117,270,280,76,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","USW00014898",2011-12-10,41,NA,0,0,0,NA,-33,-128,220,210,72,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","USW00014898",2011-12-11,49,NA,0,0,0,NA,61,-50,210,210,80,116,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","USW00014898",2011-12-12,29,NA,3,0,0,NA,39,11,210,210,58,76,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"74","USW00014898",2011-12-13,6,NA,0,0,0,NA,56,0,50,50,31,36,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"75","USW00014898",2011-12-14,19,NA,94,0,0,NA,61,0,160,160,67,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"76","USW00014898",2011-12-15,74,NA,3,5,0,NA,61,-22,310,290,161,192,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
"77","USW00014898",2011-12-16,28,NA,0,0,0,NA,-17,-39,320,320,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","USW00014898",2011-12-17,31,NA,0,0,0,NA,-11,-67,260,240,67,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"79","USW00014898",2011-12-18,42,NA,0,0,0,NA,39,-39,190,200,80,125,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"80","USW00014898",2011-12-19,35,NA,0,0,0,NA,44,-6,360,350,72,89,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"81","USW00014898",2011-12-20,18,NA,0,0,0,NA,11,-33,210,200,45,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","USW00014898",2011-12-21,21,NA,0,0,0,NA,44,-33,330,330,54,72,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"83","USW00014898",2011-12-22,30,NA,15,20,25,NA,11,-78,350,340,67,80,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"84","USW00014898",2011-12-23,29,NA,23,46,0,NA,-22,-122,170,170,63,76,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"85","USW00014898",2011-12-24,32,NA,0,0,51,NA,11,-94,190,200,80,107,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"86","USW00014898",2011-12-25,48,NA,0,0,25,NA,39,-28,320,320,107,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","USW00014898",2011-12-26,52,NA,0,0,0,NA,50,-44,200,200,98,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","USW00014898",2011-12-27,57,NA,0,0,0,NA,33,-89,350,340,112,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"89","USW00014898",2011-12-28,24,NA,0,0,0,NA,-39,-100,320,320,54,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","USW00014898",2011-12-29,27,NA,3,3,0,NA,17,-50,290,300,58,72,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA
"91","USW00014898",2011-12-30,33,NA,0,0,0,NA,11,-33,20,20,72,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"92","USW00014898",2011-12-31,26,NA,0,0,0,NA,28,-22,160,170,72,89,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"93","USW00014898",2012-01-01,66,NA,38,36,0,NA,28,-50,300,310,134,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA
"94","USW00014898",2012-01-02,67,NA,0,0,25,NA,-50,-122,310,300,139,183,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"95","USW00014898",2012-01-03,36,NA,0,0,25,NA,-50,-150,180,170,63,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","USW00014898",2012-01-04,36,NA,0,0,25,NA,-6,-78,270,270,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","USW00014898",2012-01-05,27,NA,0,0,25,NA,61,-61,200,210,63,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","USW00014898",2012-01-06,38,NA,0,0,0,NA,83,17,280,270,76,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","USW00014898",2012-01-07,34,NA,0,0,0,NA,22,-61,290,290,76,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","USW00014898",2012-01-08,26,NA,0,0,0,NA,44,-67,260,270,54,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","USW00014898",2012-01-09,55,NA,0,0,0,NA,72,-22,260,230,112,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","USW00014898",2012-01-10,27,NA,0,0,0,NA,78,-50,190,200,72,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","USW00014898",2012-01-11,15,NA,0,0,0,NA,106,-33,10,10,58,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"104","USW00014898",2012-01-12,60,NA,102,84,0,NA,22,-72,350,350,98,125,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"105","USW00014898",2012-01-13,48,NA,18,25,102,NA,-61,-89,350,350,98,116,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"106","USW00014898",2012-01-14,18,NA,0,0,102,NA,-72,-167,320,320,40,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","USW00014898",2012-01-15,44,NA,0,0,102,NA,0,-167,160,170,107,134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","USW00014898",2012-01-16,25,NA,0,0,76,NA,17,-56,10,10,80,94,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"109","USW00014898",2012-01-17,64,NA,8,13,76,NA,0,-133,10,10,125,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"110","USW00014898",2012-01-18,41,NA,3,3,76,NA,-56,-189,200,200,103,134,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"111","USW00014898",2012-01-19,65,NA,8,18,102,NA,-50,-217,290,290,143,174,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA
"112","USW00014898",2012-01-20,15,NA,8,13,102,NA,-139,-228,290,290,45,58,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"113","USW00014898",2012-01-21,10,NA,0,0,102,NA,-89,-211,320,320,40,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","USW00014898",2012-01-22,47,NA,18,0,102,NA,17,-111,150,160,103,134,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA
"115","USW00014898",2012-01-23,55,NA,109,13,76,NA,22,-28,280,280,112,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA
"116","USW00014898",2012-01-24,48,NA,0,0,76,NA,-11,-67,280,280,112,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"117","USW00014898",2012-01-25,21,NA,0,0,51,NA,6,-78,170,170,54,72,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"118","USW00014898",2012-01-26,31,NA,0,0,51,NA,11,-22,270,220,67,94,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"119","USW00014898",2012-01-27,43,NA,20,30,25,NA,28,-33,210,210,76,103,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"120","USW00014898",2012-01-28,70,NA,23,30,76,NA,6,-61,260,260,125,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"121","USW00014898",2012-01-29,32,NA,0,0,76,NA,-44,-150,280,290,76,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","USW00014898",2012-01-30,17,NA,3,8,76,NA,17,-144,170,170,76,98,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"123","USW00014898",2012-01-31,30,NA,0,0,76,NA,83,-67,210,240,67,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"124","USW00014898",2012-02-01,26,NA,0,0,0,NA,44,-6,300,290,72,103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","USW00014898",2012-02-02,18,NA,0,0,0,NA,11,-28,270,280,45,58,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"126","USW00014898",2012-02-03,8,NA,0,0,0,NA,28,-33,20,50,36,45,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"127","USW00014898",2012-02-04,21,NA,0,0,0,NA,67,-50,30,30,89,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"128","USW00014898",2012-02-05,27,NA,0,0,0,NA,33,-22,230,240,58,72,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","USW00014898",2012-02-06,50,NA,0,0,0,NA,44,-22,230,240,89,112,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"130","USW00014898",2012-02-07,42,NA,0,0,0,NA,11,-67,10,30,94,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"131","USW00014898",2012-02-08,40,NA,0,0,0,NA,17,-83,270,270,80,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","USW00014898",2012-02-09,47,NA,0,0,0,NA,28,-72,230,230,80,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","USW00014898",2012-02-10,61,NA,64,94,25,NA,-11,-167,40,30,134,174,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"134","USW00014898",2012-02-11,60,NA,0,0,102,NA,-83,-156,280,280,94,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","USW00014898",2012-02-12,48,NA,0,0,76,NA,-11,-144,270,270,89,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","USW00014898",2012-02-13,31,NA,10,20,76,NA,0,-139,190,200,72,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"137","USW00014898",2012-02-14,23,NA,3,8,76,NA,11,-22,240,200,40,58,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"138","USW00014898",2012-02-15,25,NA,0,0,76,NA,33,-6,210,230,63,76,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"139","USW00014898",2012-02-16,41,NA,0,0,25,NA,56,-22,280,290,116,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"140","USW00014898",2012-02-17,29,NA,10,15,0,NA,17,-33,360,360,89,107,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"141","USW00014898",2012-02-18,22,NA,3,8,25,NA,17,-61,10,10,76,98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"142","USW00014898",2012-02-19,9,NA,0,0,0,NA,50,-78,240,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"143","USW00014898",2012-02-20,36,NA,0,0,0,NA,56,-61,150,150,80,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","USW00014898",2012-02-21,46,NA,15,0,0,NA,33,6,260,260,112,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA
"145","USW00014898",2012-02-22,46,NA,0,0,0,NA,44,-33,250,270,98,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","USW00014898",2012-02-23,16,NA,0,0,0,NA,56,-67,50,60,54,58,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"147","USW00014898",2012-02-24,57,NA,8,13,0,NA,11,-39,300,290,94,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"148","USW00014898",2012-02-25,43,NA,0,0,0,NA,11,-61,300,320,76,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
