"unique_storm_number","sub_storms","Suspended_Sediment_mg_L","Chloride_mg_L","NO2_NO3_N_mg_L","Ammonium_N_mg_L","TKN_Unfiltered_mg_L","Dissolved_Reactive_Phosphorus_mg_L","TP_Unfiltered_mg_L","Total_Nitrogen_computed_mg_L","Organic_Nitrogen_computed_mg_L","Suspended_Sediment_Load_pounds","Chloride_Load_pounds","NO2_NO3_N_Load_pounds","Ammonium_N_Load_pounds","TKN_Unfiltered_Load_pounds","Dissolved_Reactive_Phosphorus_Load_pounds","TP_Unfiltered_Load_pounds","Total_Nitrogen_load_pounds","Organic_Nitrogen_Load_pounds","sum_runoff","Flag_Suspended_Sediment","Flag_Chloride","Flag_NO2_NO3_N_","Flag_Ammonium_N_","Flag_TKN_Unfiltered","Flag_Dissolved_Reactive_Phosphorus_","Flag_TP_Unfiltered","frozen","comments","site","water_year","sample_start","sample_end","storm_start","storm_end","peak_discharge","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max","sin_sdate","cos_sdate","tmax","tmin","prcp","snow","snwd","snwd_diff","period","days_since_planting","days_since_fertilizer","days_since_cultivation","weq"
19,"ESW3-12b",12831,11.8,0.7,0.84,59,0.354,21,59.7,58.16,4346.25284184,3.997021552,0.237111448,0.2845337376,19.98510776,0.11991064656,7.11334344,20.222219208,19.7005740224,5425.92,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-06-01 18:15:00","2014-06-01 20:39:59",2014-06-01 18:15:00,"2014-06-01 20:39:59",1.875,"2014-06-01 16:02:00","2014-06-01 19:58:00",1.628,3.93333333333333,0.413898305084746,8.676,7.578,6.3,3.906,2.445,4728.79796030232,184.706848329409,4597.51399985201,179.57889683422,0,0,0,0,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8,0.501241813445777,-0.865307254363205,30,18.3,0.75196891,0,0,0,"before",4,4,4,1.628
20,"ESW3-12c",7504,17.3,0.6,0.74,40.7,0.381,13.3,41.3,39.96,1283.05988384,2.958013858,0.102590076,0.1265277604,6.959026822,0.06514469826,2.274080018,7.061616898,6.8324990616,2738.88,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-06-01 20:39:59","2014-06-01 22:57:59",2014-06-01 20:39:59,"2014-06-01 22:57:59",0.9433,"2014-06-01 16:02:00","2014-06-01 22:04:00",1.938,6.03333333333333,0.32121546961326,8.676,7.578,6.3,3.906,2.445,5257.15122293434,205.344326767815,5109.26588558187,199.567925490828,0,0,0,0,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8,0.486272707108691,-0.87380710361108,30,18.3,0.75196891,0,0,0,"before",4,4,4,1.938
21,"ESW3-12d,ESW3-12e",7358.8875,18.755546875,0.8915625,0.646625,37.868828125,0.526046875,12.38846875,38.760390625,37.222203125,5080.62302688,12.948949598,0.615540456,0.4464340384,26.144881298,0.3631861292,8.5530781112,26.760421754,25.6984472596,11059.2,"HT, HT","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA","NA, NA",FALSE,"NA, NA","SW3","WY14","2014-06-01 22:57:59","2014-06-02 04:52:59",2014-06-01 22:57:59,"2014-06-02 04:52:59",2.982,"2014-06-01 16:02:00","2014-06-02 04:04:00",2.628,12.0333333333333,0.218393351800554,8.676,7.578,6.3,3.906,2.445,5735.26531538289,224.019463218856,5616.70065065771,219.38832741469,0,0,0,0,27.9,17.235,27.9,14.1466666666667,27.9,12.2585714285714,27.9,23.4364285714286,74.8,0.486272707108691,-0.87380710361108,30,18.3,1.34252041,0,0,0,"before",4,4,4,2.628
23,"ESW3-12g",13099,8.3,0.3,3.48,69,0.666,21.8,69.3,65.52,15466.02623918,9.799833406,0.354210846,4.1088458136,81.46849458,0.78634807812,25.739321476,81.822705426,77.3596487664,18912.96,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-06-02 10:34:00","2014-06-02 13:45:00",2014-06-02 10:34:00,"2014-06-02 13:45:59",6.87,"2014-06-02 10:33:00","2014-06-02 12:10:00",0.699,1.61666666666667,0.432371134020618,2.304,1.758,1.388,1.074,0.636,631.624868280176,6.78365108532909,618.328306233083,6.64084600894331,6.194,6.194,6.194,6.194,500,263.95,500,178.156666666667,500,81.8442857142857,500,57.4864285714286,500,0.486272707108691,-0.87380710361108,25.6,18.9,0.5905515,0,0,0,"before",5,5,5,0.699
25,"ESW3-13b",957,27.5,2.4,0.32,8.2,0.324,2.18,10.6,7.88,112.52869188,3.2335831,0.282203616,0.0376271488,0.964195688,0.03809748816,0.2563349512,1.246399304,0.9265685392,1883.52,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-06-18 08:53:59","2014-06-18 12:29:59",2014-06-18 08:53:59,"2014-06-18 16:00:00",0.354,"2014-06-18 02:01:00","2014-06-18 11:15:00",1.071,9.23333333333333,0.115992779783394,0.756,0.648,0.576,0.522,0.315,646.719557801072,3.37587609172159,720.99993717133,3.76361967203434,0,0,0,0,91.8,48.575,91.8,33.7533333333333,91.8,18.8614285714286,91.8,38.5592857142857,155,0.230305670230614,-0.973118337233261,22.2,16.7,0.98031549,0,0,0,"before",21,21,21,1.071
29,"ESW3-14a",3181,5.8,4.8,0.39,14.8,0.25,5.09,19.6,14.41,401.48966052,0.732046536,0.605831616,0.0492238188,1.867980816,0.03155373,0.6424339428,2.473812432,1.8187569972,2021.76,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-08-11 21:15:00","2014-08-12 01:14:59",2014-08-11 21:13:59,"2014-08-12 01:14:59",0.7256,"2014-08-11 20:58:00","2014-08-12 00:12:00",1.806,3.23333333333333,0.558556701030928,6.792,6.54,5.48,3.764,2.658,3370.90421637683,126.880834704424,3296.66961050187,124.086644139291,0,0,0,0,0.34,0.39,0.44,0.423333333333333,0.49,0.558571428571429,0.86,1.07357142857143,3.36,-0.655156357209083,-0.755493314072682,26.7,11.7,1.62992214,0,0,0,"before",75,52,75,1.806
30,"ESW3-14b",335,18.5,12.7,0.34,4.69,0.213,1.046,17.39,4.35,39.752306,2.1952766,1.50702772,0.040345624,0.556532284,0.0252753468,0.1241221256,2.063560004,0.51618666,1900.8,"HT",NA,NA,NA,NA,NA,NA,FALSE,"Komiskey, Matthew J.:flume undercut….estimated event","SW3","WY14","2014-08-12 01:14:59","2014-08-12 11:15:00",2014-08-12 01:14:59,"2014-08-12 11:15:00",0.1973,"2014-08-11 20:58:00","2014-08-12 09:09:00",2.634,12.1833333333333,0.216196990424077,6.792,6.54,5.48,3.764,2.658,3835.51762192499,144.368883289257,3833.03692056461,144.275509690052,0,0,0,0,7.85,4.095,7.85,2.87666666666667,7.85,1.55714285714286,7.85,1.54785714285714,7.85,-0.655156357209083,-0.755493314072682,22.8,11.7,1.00000054,0,0,0,"before",76,53,76,2.634
32,"ESW3-15",6910,5.2,2.8,0.19,26.8,0.241,11,29.6,26.61,1818.8325104,1.368730688,0.737008832,0.0500113136,7.054227392,0.06343540304,2.89539184,7.791236224,7.0042160784,4216.32,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-08-18 17:28:00","2014-08-18 19:00:00",2014-08-18 17:23:00,"2014-08-18 19:07:00",2.964,"2014-08-18 16:40:00","2014-08-18 18:40:00",1.378,2,0.689,4.98,4.434,3.88,2.298,1.176,1443.29822263946,33.1669931562548,1406.48804675503,32.3210953144307,0,0,4.44,4.44,1.36,1.34,1.36,1.43666666666667,1.63,4.58714285714286,12.2,2.57285714285714,12.2,-0.729557554086485,-0.683919421624613,25,11.1,0.48031522,0,0,0,"before",82,59,82,1.378
34,"ESW3-16",1139,5.9,3,0.15,8.1,0.231,2.6,11.1,7.95,38.08993684,0.197305204,0.10032468,0.005016234,0.270876636,0.00772500036,0.086948056,0.371201316,0.265860402,535.68,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-08-19 02:01:59","2014-08-19 04:00:00",2014-08-19 01:59:59,"2014-08-19 04:14:59",0.1872,"2014-08-19 00:33:00","2014-08-19 03:41:00",0.261,3.13333333333333,0.0832978723404255,0.54,0.324,0.288,0.234,0.234,159.826863137293,0.373994859741267,177.761941427521,0.4159629429404,1.378,1.378,2.206,5.818,17.7,9.53,17.7,6.79333333333333,17.7,5.99428571428571,17.7,3.77571428571429,17.7,-0.741222010848596,-0.671259957567532,25.6,16.7,1.01181157,0,0,0,"before",83,60,83,0.261
35,"ESW3-17",1881,3.4,1.2,0.02,12.3,0.149,3.96,13.5,12.28,44.64124632,0.080691248,0.028479264,0.0004746544,0.291912456,0.00353617528,0.0939815712,0.32039172,0.2914378016,380.16,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-08-25 07:09:59","2014-08-25 10:14:59",2014-08-25 07:09:00,"2014-08-25 10:30:00",0.1973,"2014-08-25 07:04:00","2014-08-25 09:58:00",0.471,2.9,0.162413793103448,2.304,1.422,1.02,0.51,0.255,413.389850824855,2.10828823920676,407.094311410034,2.07618098819118,0,0,1.639,6.079,2.72,3.06,3.4,3.65333333333333,4.84,9.60285714285714,21.2,7.095,21.2,-0.806479946320943,-0.591261444863581,27.8,20,0.09055123,0,0,0,"before",89,66,89,0.471
36,"ESW3-18",493,5.8,2,0.21,4,0.11,1.36,6,3.79,6.6478585,0.0782101,0.026969,0.002831745,0.053938,0.001483295,0.01833892,0.080907,0.051106255,216,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-09-04 19:50:00","2014-09-04 22:45:00",2014-09-04 19:48:59,"2014-09-04 23:30:00",0.1008,"2014-09-04 19:41:00","2014-09-04 21:55:00",0.526,2.23333333333333,0.235522388059701,1.452,1.05,0.808,0.584,0.427,430.205181717917,2.51239826123264,429.379845611076,2.50757829836868,0,0,0,0.471,5.74,3.715,5.74,3.13333333333333,5.74,2.45285714285714,5.74,3.43357142857143,7.65,-0.903355802324684,-0.428891937912485,25,18.3,2.42126115,0,0,0,"before",99,76,99,0.526
37,"ESW3-19",1002,3.7,0.9,0.3,6.4,0.161,2.05,7.3,6.1,94.03982424,0.347252844,0.084466908,0.028155636,0.600653568,0.01511019132,0.192396846,0.685120476,0.572497932,1503.36,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-09-05 05:35:00","2014-09-05 08:15:00",2014-09-05 05:30:00,"2014-09-05 10:30:00",0.5095,"2014-09-05 05:30:00","2014-09-05 06:45:00",0.49,1.25,0.392,2.424,1.59,1.132,0.584,0.373,465.639382440328,2.71933399345152,450.322494282503,2.62988336660982,0.526,0.526,0.526,0.997,110,57.87,110,39.1433333333333,110,17.8571428571429,110,10.7442857142857,110,-0.903355802324684,-0.428891937912485,23.9,13.3,0.18897648,0,0,0,"before",100,77,100,0.49
39,"ESW3-20",429,9.2,1.4,0.18,4.5,0.173,1.13,5.9,4.32,11.569701,0.2481148,0.0377566,0.00485442,0.1213605,0.004665637,0.03047497,0.1591171,0.11650608,432,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY14","2014-09-20 03:09:59","2014-09-20 06:45:00",2014-09-20 03:09:00,"2014-09-20 07:00:00",0.2318,"2014-09-20 03:06:00","2014-09-20 05:41:00",0.558,2.58333333333333,0.216,1.92,1.284,1.296,0.774,0.432,463.827422623756,3.59002425110787,464.381343475835,3.59431159850296,0,0,0,0,2.65,2.515,2.65,2.61333333333333,2.81,4.23571428571429,8.36,5.97928571428571,16.3,-0.982926551979982,-0.183998351657683,23.9,13.9,0.53937037,0,0,0,"before",115,92,115,0.558
42,"ESW3-22",69,12.4,1.5,0.17,1.88,0.137,0.398,3.38,1.71,1.82364378,0.327727288,0.03964443,0.0044930354,0.0496876856,0.00362085794,0.01051898876,0.0893321156,0.0451946502,423.36,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY15","2014-10-03 05:30:00","2014-10-03 09:45:00",2014-10-03 05:26:59,"2014-10-03 10:00:00",0.0543,"2014-10-03 02:55:00","2014-10-03 08:06:00",0.449999989,5.18333333333333,0.0868167181350482,0.216000072,0.216000072,0.216000072,0.180000002,0.161999996,221.215656901826,0.3981881868476,269.578689569324,0.485241646616356,0,0,0,0.558,7.91,5.265,7.91,4.33333333333333,7.91,3.45,7.91,10.26,44.8,-0.999250011239684,0.0387222808921717,17.8,5,0.33858286,0,0,0,"before",128,105,128,0.449999989
43,"ESW3-23",124,22.4,0.05,0.02,4.1,0.63,1.31,4.15,4.08,13.77792272,2.488915072,0.005555614,0.0022222456,0.455560348,0.0700007364,0.1455570868,0.461115962,0.4533381024,1779.84,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY15","2014-10-13 19:12:59","2014-10-14 07:59:59",2014-10-13 19:12:00,"2014-10-14 08:15:00",0.1497,"2014-10-13 16:30:00","2014-10-14 04:57:00",1.06200003,12.45,0.0853012072289157,0.755999988,0.648000108,0.540000108,0.378000032,0.279000017,623.937751060284,2.35848489866795,699.131430543512,2.64271703117653,0,0,0,0.449999989,2.61,2.495,2.61,2.55333333333333,2.67,3.68,6.85,5.33928571428571,12.9,-0.974100455172421,0.226115685508287,16.7,8.9,1.30315031,0,0,0,"before",138,115,138,1.06200003
44,"ESW3-24",60,24.4,0.05,0.06,3.43,0.33,0.736,3.48,3.37,1.2621492,0.513274008,0.001051791,0.0012621492,0.0721528626,0.0069418206,0.01548236352,0.0732046536,0.0708907134,336.96,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY15","2014-10-14 12:15:00","2014-10-14 15:45:00",2014-10-14 12:11:00,"2014-10-14 16:00:00",0.0652,"2014-10-14 11:43:00","2014-10-14 13:23:00",0.126000049,1.66666666666667,0.0756000294,0.108000756,0.108000042,0.10800028,0.108000042,0.090000035,58.2646662763678,0.0629258640496371,71.7509688164957,0.0774910764572223,1.06200003,1.06200003,1.06200003,1.512000019,119,60.805,119,41.33,119,19.7014285714286,119,13.6814285714286,119,-0.974100455172421,0.226115685508287,12.8,8.9,0.29133874,0,0,0,"before",139,116,139,0.126000049
45,"ESW3-25",32,21.7,0.05,0.09,2.34,0.24,0.443,2.39,2.25,0.72492672,0.491590932,0.001132698,0.0020388564,0.0530102664,0.0054369504,0.01003570428,0.0541429644,0.05097141,362.88,"HT",NA,NA,NA,NA,NA,NA,FALSE,NA,"SW3","WY15","2014-10-15 01:21:59","2014-10-15 06:00:00",2014-10-15 01:18:00,"2014-10-15 07:00:00",0.0478,"2014-10-15 00:56:00","2014-10-15 04:48:00",0.134999993,3.86666666666667,0.0349137912931035,0.216000084,0.21599937,0.179999832,0.108000042,0.062999965,62.5251603258883,0.0675271994125267,71.7902007805119,0.0775334469948371,0.270000101,1.188000079,1.188000079,1.638000068,151,135,151,90.87,151,40.5971428571429,151,24.2907142857143,151,-0.970063921851508,0.242849722095934,11.7,8.3,0.1181103,0,0,0,"before",140,117,140,0.134999993
46,"ESW3-26",174,68.4,5.1,1.83,7.1,0.139,0.524,12.2,5.27,4.78645812,1.881573192,0.140292738,0.0503403354,0.195309498,0.00382366482,0.01441439112,0.335602236,0.1449691626,440.64,"HT",NA,NA,NA,NA,NA,NA,TRUE,NA,"SW3","WY15","2014-12-16 07:09:59","2014-12-16 15:11:00",2014-12-16 07:00:00,"2014-12-16 15:11:00",0.0247,"2014-12-15 20:18:00","2014-12-16 10:44:00",0.22499999,14.4333333333333,0.0155889138568129,0.108000036,0.108000036,0.072000024,0.072000024,0.053999988,84.5284424755114,0.0608604988691944,86.0485325906845,0.0619549641169406,0,0,0,0,81.8,69.25,81.8,54.0666666666667,81.8,26.4828571428571,81.8,16.6292857142857,81.8,-0.25535329511619,0.966847813605277,4.4,-3.2,0.27165369,0.7086618,0,0,"before",0,35,202,0.22499999
47,"ESW3-27",1256,26.6,3.2,1.39,10.3,0.146,2.68,13.5,8.91,447.80190608,9.483702788,1.140896576,0.4955769502,3.672260854,0.05205340628,0.9555008824,4.81315743,3.1766839038,5711.04,"HT",NA,NA,NA,NA,NA,NA,TRUE,NA,"SW3","WY15","2014-12-23 04:45:00","2014-12-23 10:07:59",2014-12-23 04:45:00,"2014-12-23 10:07:59",0.7759,"2014-12-23 04:45:00","2014-12-23 04:46:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.089999985,0.22499999,42.3,31.2,42.3,26.9,42.3,41.0857142857143,86,33.7842857142857,86,-0.137278772113268,0.990532452132222,6.1,0.6,0.61023655,0.1968505,0,0,"before",0,42,209,0
48,"ESW3-28",893,9.4,1.2,1.25,5.3,0.206,1.33,6.5,4.05,62.13495786,0.654052188,0.083496024,0.086975025,0.368774106,0.01433348412,0.0925414266,0.45227013,0.281799081,1114.56,"HT",NA,NA,NA,NA,NA,NA,TRUE,NA,"SW3","WY15","2015-03-08 12:29:59","2015-03-08 18:29:59",2015-03-08 12:15:00,"2015-03-08 18:45:00",0.11,"2015-03-08 12:15:00","2015-03-08 12:16:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,36.25,45.3,31.1,45.3,17.0214285714286,45.3,9.28357142857143,45.3,0.914127988185333,0.405425728359998,8.3,-4.3,0,0,3.149608,-0.787402,"before",0,117,284,0.0787402
